Marker_need,Marker_status,mitogenome,COI,16S,species,order,family,genus,status,source,Randall2007,FBname,DemersPelag,Habitat,FamCode,GenCode,SpecCode,Synonym,Status,WoRMS_ID
"12S, 16S",COI,0,1,0,Antennatus analis,Lophiiformes,Antennariidae,Antennatus,Native,1,1,Tailjet frogfish,reef-associated,reef,192,6281,11144,Antennarius analis,accepted name,272535
"12S, 16S",COI,0,1,0,Antennatus coccineus,Lophiiformes,Antennariidae,Antennatus,Endemic,1,1,Scarlet frogish,reef-associated,reef,192,4744,5402,Antennarius drombus,accepted name,301261
"12S, 16S",COI,0,1,0,Antennatus duescus,Lophiiformes,Antennariidae,Antennatus,Native,1,1,Side-jet frogfish,reef-associated,reef,192,4744,27298,Antennarius duescus,accepted name,272538
12S,"COI,16S",0,1,1,Antennatus nummifer,Lophiiformes,Antennariidae,Antennatus,Native,3,0,Spotfin frogfish,reef-associated,reef,192,4744,5403,Antennatus nummifer,accepted name,126530
"12S, 16S",COI,0,1,0,Bathytoshia lata,Myliobatiformes,Dasyatidae,Bathytoshia,Native,1,1,Brown stingray,demersal,reef,20,6559,27065,Dasyatis lata,accepted name,298768
12S,"COI,16S",0,1,1,Neomyxus leuciscus,Perciformes,Mugilidae,Neomyxus,Native,3,0,Acute-jawed mullet,reef-associated,reef,359,6083,5652,Chaenomugil leuciscus,accepted name,314049
"12S, 16S",COI,0,1,0,Dunckerocampus baldwini,Syngnathiformes,Syngnathidae,Dunckerocampus,Endemic,1,1,Redstripe pipefish,demersal,reef,258,2996,12771,Doryrhamphus baldwini,accepted name,279101
,mitogenome,1,1,0,Manta alfredi,Myliobatiformes,Myliobatidae,Mobula,Native,"2,3",1,Reef manta,Reef-associated,reef,22,1346,65179,Mobula alfredi,synonym,298794
"12S, 16S",COI,0,1,0,Acanthurus achilles,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Achilles tang,reef-associated,reef,412,9710,4306,,accepted name,272957
12S,"COI,16S",0,1,1,Acanthurus blochii,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Ringtail surgeonfish,reef-associated,reef,412,9710,4750,,accepted name,219639
12S,"COI,16S",0,1,1,Acanthurus dussumieri,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Eyestripe surgeonfish,reef-associated,reef,412,9710,1256,,accepted name,219641
12S,"COI,16S",0,1,1,Acanthurus guttatus,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Whitespotted surgeonfish,reef-associated,reef,412,9710,4736,,accepted name,219650
"12S, 16S",COI,0,1,0,Acanthurus leucopareius,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Whitebar surgeonfish,reef-associated,reef,412,9710,4737,,accepted name,219624
,mitogenome,1,1,1,Acanthurus lineatus,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Lined surgeonfish,reef-associated,reef,412,9710,1258,,accepted name,159582
12S,"COI,16S",0,1,1,Acanthurus nigricans,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Whitecheek surgeonfish,reef-associated,reef,412,9710,6011,,accepted name,219638
12S,"COI,16S",0,1,1,Acanthurus nigrofuscus,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Brown surgeonfish,reef-associated,reef,412,9710,4739,,accepted name,219640
12S,"COI,16S",0,1,1,Acanthurus nigroris,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Bluelined surgeonfish,reef-associated,reef,412,9710,4738,,accepted name,219642
12S,"COI,16S",0,1,1,Acanthurus olivaceus,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Orangespot surgeonfish,reef-associated,reef,412,9710,4744,,accepted name,219625
12S,"COI,16S",0,1,1,Acanthurus thompsoni,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Thompson's surgeonfish,reef-associated,reef,412,9710,4734,,accepted name,219646
12S,"COI,16S",0,1,1,Acanthurus triostegus,Perciformes,Acanthuridae,Acanthurus,Native,"1,3",1,Convict surgeonfish,reef-associated,reef,412,9710,1260,,accepted name,219630
12S,"COI,16S",0,1,1,Acanthurus xanthopterus,Perciformes,Acanthuridae,Acanthurus,Native,1,1,Yellowfin surgeonfish,reef-associated,reef,412,9710,1261,,accepted name,219634
12S,"COI,16S",0,1,1,Ctenochaetus hawaiiensis,Perciformes,Acanthuridae,Ctenochaetus,Native,1,1,Chevron tang,reef-associated,reef,412,875,6013,,accepted name,277561
"12S, 16S",COI,0,1,0,Ctenochaetus marginatus,Perciformes,Acanthuridae,Ctenochaetus,Native,3,0,Striped-fin surgeonfish,reef-associated,reef,412,875,6014,,accepted name,219657
"12S, 16S",COI,0,1,0,Ctenochaetus strigosus,Perciformes,Acanthuridae,Ctenochaetus,Endemic,1,1,Spotted surgeonfish,reef-associated,reef,412,875,6015,,accepted name,219658
12S,"COI,16S",0,1,1,Naso annulatus,Perciformes,Acanthuridae,Naso,Native,1,1,Whitemargin unicornfish,reef-associated,reef,412,9831,6019,,accepted name,219673
12S,"COI,16S",0,1,1,Naso brevirostris,Perciformes,Acanthuridae,Naso,Native,1,1,Spotted unicornfish,reef-associated,reef,412,9831,6021,,accepted name,219671
12S,"COI,16S",0,1,1,Naso caesius,Perciformes,Acanthuridae,Naso,Native,1,1,Gray unicornfish,reef-associated,reef,412,9831,15628,,accepted name,278004
12S,"COI,16S",0,1,1,Naso hexacanthus,Perciformes,Acanthuridae,Naso,Native,1,1,Sleek unicornfish,reef-associated,reef,412,9831,1263,,accepted name,219667
12S,"COI,16S",0,1,1,Naso lituratus,Perciformes,Acanthuridae,Naso,Native,1,1,Orangespine unicornfish,reef-associated,reef,412,9831,1264,,accepted name,219665
12S,"COI,16S",0,1,1,Naso maculatus,Perciformes,Acanthuridae,Naso,Native,1,1,Spotted unicornfish,reef-associated,reef,412,9831,6931,,accepted name,278007
12S,"COI,16S",0,1,1,Naso unicornis,Perciformes,Acanthuridae,Naso,Native,1,1,Bluespine unicornfish,reef-associated,reef,412,9831,1265,,accepted name,219668
,mitogenome,1,1,1,Paracanthurus hepatus,Perciformes,Acanthuridae,Paracanthurus,Introduced,"1,3",1,Palette surgeonfish,reef-associated,reef,412,4392,6017,,accepted name,219676
,mitogenome,1,1,1,Zebrasoma flavescens,Perciformes,Acanthuridae,Zebrasoma,Native,1,1,Yellow tang,reef-associated,reef,412,963,6018,,accepted name,219683
