"scientificname","AphiaID","worms_name","valid_AphiaID","status","rank","kingdom","phylum","class","order","family","genus","species","origin","endemic","deepsea","distribution","localName","common","fishery"
"Antennatus analis",712499,"Abantennarius analis",315963,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennatus","Abantennarius analis","Randall2007",0,NA,"reef-associated",NA,"Tailjet frogfish",NA
"Antennarius analis",272535,"Abantennarius analis",315963,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennarius","Abantennarius analis","Randall2007",0,NA,"reef-associated",NA,"Tailjet frogfish",NA
"Antennatus coccineus",712501,"Abantennarius coccineus",1605256,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennatus","Abantennarius coccineus","Randall2007",1,NA,"reef-associated",NA,"Scarlet frogish",NA
"Antennarius drombus",301261,"Abantennarius drombus",1605261,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennarius","Abantennarius drombus","Randall2007",1,NA,"reef-associated",NA,"Scarlet frogish",NA
"Antennatus duescus",712503,"Abantennarius duescus",1605259,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennatus","Abantennarius duescus","Randall2007",0,NA,"reef-associated",NA,"Side-jet frogfish",NA
"Antennarius duescus",272538,"Abantennarius duescus",1605259,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennarius","Abantennarius duescus","Randall2007",0,NA,"reef-associated",NA,"Side-jet frogfish",NA
"Antennatus nummifer",712504,"Abantennarius nummifer",1605260,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennatus","Abantennarius nummifer","Mundy2005",0,NA,"reef-associated",NA,"Spotfin frogfish",NA
"Antennarius nummifer",126530,"Abantennarius nummifer",1605260,"unaccepted","Species","Animalia","Chordata","Teleostei","Lophiiformes","Antennariidae","Antennarius","Abantennarius nummifer","Mundy2005",0,NA,"reef-associated",NA,"Spotfin frogfish",NA
"Octopus horridus",210790,"Abdopus horridus",535625,"unaccepted","Species","Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Abdopus","Abdopus horridus","gbif",NA,NA,NA,NA,NA,NA
"Ablennes hians",159246,"Ablennes hians",159246,"accepted","Species","Animalia","Chordata","Teleostei","Beloniformes","Belonidae","Ablennes","Ablennes hians","Mundy2005",0,NA,"reef-associated","'Aha, 'Aha Mele, 'Aha'aha, Bluebone, Dasu","Flat needlefish","Nearshore - Other"
"Abralia astrosticta",341828,"Abralia astrosticta",341828,"accepted","Species","Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia astrosticta","bishop",NA,NA,NA,NA,NA,NA
"Abralia trigonura",341844,"Abralia trigonura",341844,"accepted","Species","Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","Abralia","Abralia trigonura","bishop",NA,NA,NA,NA,NA,NA
"Abraliopsis falco",341848,"Abraliopsis falco",341848,"accepted","Species","Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis falco","bishop",NA,NA,NA,NA,NA,NA
"Abraliopsis felis",341849,"Abraliopsis felis",341849,"accepted","Species","Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis felis","bishop",NA,NA,NA,NA,NA,NA
"Abraliopsis hoylei",341851,"Abraliopsis hoylei",341851,"accepted","Species","Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis hoylei","idigbio",NA,NA,NA,NA,NA,NA
"Abraliopsis morisii",237819,"Abraliopsis morisii",237819,"accepted","Species","Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis morisii","idigbio",NA,NA,NA,NA,NA,NA
"Abraliopsis pacificus",341853,"Abraliopsis pacificus",341853,"accepted","Species","Animalia","Mollusca","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis","Abraliopsis pacificus","gbif",NA,NA,NA,NA,NA,NA
"Abudefduf abdominalis",254879,"Abudefduf abdominalis",254879,"accepted","Species","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf abdominalis","Randall2007",1,NA,"reef-associated","Ma'o Ma'o, Mamo","Green damselfish","Nearshore - Other"
"Abudefduf sordidus",212888,"Abudefduf sordidus",212888,"accepted","Species","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sordidus","Randall2007",0,NA,"reef-associated","Kūpīpī","Blackspot sergeant","Nearshore - Other"
"Abudefduf vaigiensis",212879,"Abudefduf vaigiensis",212879,"accepted","Species","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf vaigiensis","Randall2007",0,NA,"reef-associated",NA,"Indo-Pacific sergeant",NA
"Abyla Huxleyi",956849,"Abylopsis tetragona",135403,"unaccepted","Species","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Abylidae","Abyla","Abylopsis tetragona","bishop",NA,NA,NA,NA,NA,NA
"Abyssocladia lakwollii",765500,"Abyssocladia lakwollii",765500,"accepted","Species","Animalia","Porifera","Demospongiae","Poecilosclerida","Cladorhizidae","Abyssocladia","Abyssocladia lakwollii","gbif",NA,NA,NA,NA,NA,NA
"Acaenodera placophora",728171,"Acaenodera placophora",728171,"accepted","Species","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Acanthocolpidae","Acaenodera","Acaenodera placophora","aphia",NA,NA,NA,NA,NA,NA
"Acanella eburnea",286299,"Acanella arbuscula",125371,"junior subjective synonym","Species","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Acanella","Acanella arbuscula","gbif",NA,NA,NA,NA,NA,NA
"Acanella dispar",286298,"Acanella dispar",286298,"accepted","Species","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Acanella","Acanella dispar","obis",NA,NA,NA,NA,NA,NA
"Acanella weberi",286307,"Acanella weberi",286307,"accepted","Species","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Acanella","Acanella weberi","obis",NA,NA,NA,NA,NA,NA
