Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
ARCIDAE,Acar plicata,"(Dillwyn, 1817)",,115526
HEMIDISCACEAE,Actinocyclus verrucosus,"Ehrenberg, 1831",,115614
HOLOTHURIIDAE,Actinopyga varians,"(Selenka, 1867)",,122843
AGLAOPHENIIDAE,Aglaophenia HAW01,,,178840
TROCHIDAE,Alcyna ocellata,"A. Adams, 1860",,123106
ALDISIDAE,Aldisa pikokai,"Bertsch & S. Johnson, 1982",,115766
ELLOBIIDAE,Allochroa bronnii,"(Philippi, 1846)",,123162
ELLOBIIDAE,Allochroa layardi,"(H. Adams & A. Adams, 1855)",,123163
ALPHEIDAE,Alpheus brevipes,"Stimpson, 1860",,74710
ALPHEIDAE,Alpheus clypeatus,"Coutière, 1905",,74712
ALPHEIDAE,Alpheus collumianus,"Stimpson, 1860",,74714
ALPHEIDAE,Alpheus deuteropus,"Hilgendorf, 1879",,74716
ALPHEIDAE,Alpheus diadema,"Dana, 1852",,74717
ALPHEIDAE,Alpheus gracilipes,"Stimpson, 1860",,75950
ALPHEIDAE,Alpheus gracilis,"C. Heller, 1862",,74720
ALPHEIDAE,Alpheus lobidens,"De Haan, 1850",,74727
ALPHEIDAE,Alpheus pacificus,"Dana, 1852",,74730
ALPHEIDAE,Alpheus paracrinitus,"Miers, 1881",,75916
ALPHEIDAE,Alpheus paracrinitus HAW01,,,178657
ALPHEIDAE,Alpheus paracrinitus HAW02,,,178658
ALPHEIDAE,Alpheus paralcyone,"Coutière, 1905",,74732
ALPHEIDAE,Alpheus rapacida,"De Man, 1908",,74738
ALPHEIDAE,Alpheus rapax,"J. C. Fabricius, 1798",,74739
HELICINIDAE,Amastra cylindrica,"(Newcomb, 1854)",,230007
HELICINIDAE,Amastra decorticata,"Gulick, 1873",,230008
HELICINIDAE,Amastra elliptica,"Gulick, 1873",,230009
AMASTRIDAE,Amastra rubens,"(Gould, 1845)",,179801
AMASTRIDAE,Amastra textilis,"(Férussac, 1825)",,178985
AMPHINOMIDAE,Amphinome rostrata,"(Pallas, 1766)",,85010
AMPHIURIDAE,Amphipholis HAW01,,,178842
AMPHIURIDAE,Amphipholis squamata,"(Delle Chiaje, 1828)",,26268
COLUMBELLIDAE,Anachis miser,"(G. B. Sowerby I, 1844)",,119006
PAGURIDAE,Anapagrides reesei,"(McLaughlin, 1986)",,74922
ECHIURIDAE,Anelassorhynchus sp. 6 of Goto 2016,,,178843
PLANAXIDAE,Angiola zonata,"(A. Adams, 1853)",,119029
HIPPONICIDAE,Antisabia foliaceus,,,5475
HIPPONICIDAE,Antisabia imbricata,"(Gould, 1846)",,124019
RISSOINIDAE,Apataxia cerithiiformis,"(Tryon, 1887)",,119049
APLUSTRIDAE,Aplustrum amplustre,"(Linnaeus, 1758)",,119051
APLYSIIDAE,Aplysia argus,"Rüppell & Leuckart, 1830",,116095
APLYSIIDAE,Aplysia elongata,"(Pease, 1860)",,178618
DARWINELLIDAE,Aplysilla JV02,,,178943
DARWINELLIDAE,Aplysilla rosea,,,102000
