"species","listID","common","endemic","deepsea","distribution","AphiaID","valid_AphiaID","worms_name","status","kingdom","phylum","class","order","family","genus","valid_name"
"Lepidisis olapa","bishop",NA,NA,NA,NA,286334,286334,"Lepidisis olapa","uncertain","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Keratoisididae","Lepidisis","Lepidisis olapa"
"Acabaria bicolor","bishop",NA,NA,NA,NA,288412,746484,"Melithaea bicolor","unaccepted","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Melithaeidae","Acabaria","Melithaea bicolor"
"Allogorgia exserta","bishop",NA,NA,NA,NA,1549755,NA,NA,"nomen dubium","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Plexauridae","Allogorgia",NA
"Euplexaura neglecta","bishop",NA,NA,NA,NA,1549807,NA,NA,"uncertain","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Euplexauridae","Euplexaura",NA
"Narella ornata","bishop",NA,NA,NA,NA,286528,286528,"Narella ornata","accepted","Animalia","Cnidaria","Anthozoa","Scleralcyonacea","Primnoidae","Narella","Narella ornata"
"Carijoa riisei","bishop",NA,NA,NA,NA,395098,395098,"Carijoa riisei","accepted","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Carijoidae","Carijoa","Carijoa riisei"
"Sinularia abrupta","bishop",NA,NA,NA,NA,209983,1608810,"Sclerophytum abruptum","superseded combination","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Sinulariidae","Sinularia","Sclerophytum abruptum"
"Sinularia molokaiensis","bishop",NA,NA,NA,NA,288555,1608912,"Sclerophytum molokaiense","superseded combination","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Sinulariidae","Sinularia","Sclerophytum molokaiense"
"Anthelia edmondsoni","bishop",NA,NA,NA,NA,1456334,517780,"Sarcothelia edmondsoni","unaccepted","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Xeniidae","Anthelia","Sarcothelia edmondsoni"
"Actiniogeton sesere","bishop",NA,NA,NA,NA,855157,290054,"Gyractis sesere","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Actiniogeton","Gyractis sesere"
"Anemonia mutabilis","bishop",NA,NA,NA,NA,411017,411017,"Anemonia mutabilis","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anemonia","Anemonia mutabilis"
"Anthopleura nigrescens","bishop",NA,NA,NA,NA,283368,283368,"Anthopleura nigrescens","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","Anthopleura nigrescens"
"Cladactella manni","bishop",NA,NA,NA,NA,289664,289664,"Cladactella manni","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cladactella","Cladactella manni"
"Cladactella obscura","bishop",NA,NA,NA,NA,289665,289665,"Cladactella obscura","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cladactella","Cladactella obscura"
"Aiptasia pulchella","bishop",NA,NA,NA,NA,233893,1264073,"Exaiptasia diaphana","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Aiptasiidae","Aiptasia","Exaiptasia diaphana"
"Triactis producta","bishop",NA,NA,NA,NA,220506,220506,"Triactis producta","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Aliciidae","Triactis","Triactis producta"
"Boloceroides mcmurrichi","bishop",NA,NA,NA,NA,288925,288925,"Boloceroides mcmurrichi","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Boloceroididae","Boloceroides","Boloceroides mcmurrichi"
"Bunodeopsis medusoides","bishop",NA,NA,NA,NA,283508,283508,"Bunodeopsis medusoides","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Boloceroididae","Bunodeopsis","Bunodeopsis medusoides"
"Diadumene franciscana","bishop",NA,NA,NA,NA,283512,283512,"Diadumene franciscana","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Diadumenidae","Diadumene","Diadumene franciscana"
"Diadumene leucolena","bishop",NA,NA,NA,NA,158230,158230,"Diadumene leucolena","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Diadumenidae","Diadumene","Diadumene leucolena"
"Diadumene lineata","bishop",NA,NA,NA,NA,395099,395099,"Diadumene lineata","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Diadumenidae","Diadumene","Diadumene lineata"
"Calliactis polypus","bishop",NA,NA,NA,NA,220515,220515,"Calliactis polypus","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Calliactis","Calliactis polypus"
"Calliactis polypus","bishop",NA,NA,NA,NA,855515,100946,"Calliactis parasitica","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Hormathiidae","Calliactis","Calliactis parasitica"
"Epiphellia humilis","bishop",NA,NA,NA,NA,855852,283679,"Telmatactis humilis","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Andvakiidae","Epiphellia","Telmatactis humilis"
"Epiphellia pusilla","bishop",NA,NA,NA,NA,289910,289910,"Epiphellia pusilla","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Andvakiidae","Epiphellia","Epiphellia pusilla"
"Telmatactis decora","bishop",NA,NA,NA,NA,283678,283678,"Telmatactis decora","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Andvakiidae","Telmatactis","Telmatactis decora"
"Heteranthus verruculatus","bishop",NA,NA,NA,NA,290093,290093,"Heteranthus verruculatus","accepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Heteranthidae","Heteranthus","Heteranthus verruculatus"
"Antheopsis papillosa","bishop",NA,NA,NA,NA,855324,289229,"Radianthus malu","unaccepted","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Antheopsis","Radianthus malu"
