fishery,family,genus,species,common,local
Pelagic - Tunas,,,Katsuwonus pelamis,Skipjack,"Aku, Otado, Otaru"
Pelagic - Tunas,,,Thunnus albacares,Yellowfin Tuna,"'Ahi Y, Koshibi, Shibiko"
Pelagic - Tunas,,,Thunnus alalunga,Albacore,"'Ahi Palaha, Tombo"
Pelagic - Tunas,,,Thunnus thynnus,Bluefin Tuna,"Bluefin tuna, Maguro, Ahi"
Pelagic - Tunas,,,Thunnus obesus,Bigeye Tuna,"Ahi, 'Ahi po'o nui, Daruma"
Pelagic - Tunas,,,Euthynnus affinis,"Bonito, Mackerel Tuna, Wavyback Skipjack","Kawa, Kawakawa"
Pelagic - Tunas,,,Auxis thazard,Frigate Mackeral,"'Oi'oi, Keokeo"
Pelagic - Tunas,,,Sarda orientalis,"Dogtooth Tuna, Oriental Bonito, Striped Bonito","Hagasu, Hagatsuo"
Pelagic - Billfishes,Istiophoridae,,,Billfish,Mitsukuri
Pelagic - Billfishes,Xiphiidae,,,Billfish,Mitsukuri
Pelagic - Billfishes,,,Kajikia audax,Striped Marlin,"A'u, Naragi"
Pelagic - Billfishes,,,Makaira mazara,Blue Marlin,"A'u B, Kajiki"
Pelagic - Billfishes,,,Makaira nigricans,Blue Marlin,"A'u B, Kajiki"
Pelagic - Billfishes,,,Xiphias gladius,Swordfish,"A'u ku, Shutome"
Pelagic - Billfishes,,,Istiophorus platypterus,Sailfish,"A'u lepe, A'u s"
Pelagic - Billfishes,,,Tetrapturus angustirostris,Shortbill Spearfish,"A'u, A'u I, Hebi"
Pelagic - Billfishes,,,Istiompax indica,"Black Marlin, Silver Marlin, White Marlin","A'u, Hida"
Pelagic - Other Pelagics,,,Coryphaena hippurus,"Dolphinfish, Dorado",Mahimahi
Pelagic - Other Pelagics,,,Acanthocybium solandri,Wahoo,"Ono, Wahoo"
Pelagic - Other Pelagics,Exocoetidae,,,Flying Fish,Mālolo
Pelagic - Other Pelagics,,,Ruvettus pretiosus,"Hawaiian Butterfish, Oilfish",Walu
Pelagic - Other Pelagics,,,Lampris guttatus,Moonfish,"Manendai, Opah"
